experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
fsrcnn_8layer_2026-02-25T11:48:00.263068,fsrcnn,8layer,full,8,depfin,thesis_arch,576,19,128,128,16,120,True,False,"The provided coupling ({dims: ['C0', 'Y0', 'X0', 'R0', 'S0', 'Z0', 'C1', 'R1', 'S1', 'Y1', 'X1', 'Z1', 'C2', 'R2', 'S2', 'Y2', 'X2', 'Z2', 'C3', 'R3', 'S3', 'Y3', 'X3', 'Z3', 'C4', 'R4', 'S4', 'Y4', 'X4', 'Z4', 'C5', 'R5', 'S5', 'Y5', 'X5', 'Z5', 'C6', 'R6', 'S6', 'Y6', 'X6', 'Z6', 'C7', 'R7', 'S7', 'P', 'Q', 'Z7'], in_coupling: [['C0'], ['Y0', 'R0'], ['X0', 'S0']], w_coupling: {0: [['Z0'], ['C0'], ['R0'], ['S0']], 1: [['Z1'], ['C1'], ['R1'], ['S1']], 2: [['Z2'], ['C2'], ['R2'], ['S2']], 3: [['Z3'], ['C3'], ['R3'], ['S3']], 4: [['Z4'], ['C4'], ['R4'], ['S4']], 5: [['Z5'], ['C5'], ['R5'], ['S5']], 6: [['Z6'], ['C6'], ['R6'], ['S6']], 7: [['Z7'], ['C7'], ['R7'], ['S7']]}, out_coupling: [['Z7'], ['P'], ['Q']], in_strides: {}, w_strides: {0: {}, 1: {}, 2: {}, 3: {}, 4: {}, 5: {}, 6: {}, 7: {}}, out_strides: {}}, int_in_coupling: {0: [['C1'], ['Y1', 'R1'], ['X1', 'S1']], 1: [['C2'], ['Y2', 'R2'], ['X2', 'S2']], 2: [['C3'], ['Y3', 'R3'], ['X3', 'S3']], 3: [['C4'], ['Y4', 'R4'], ['X4', 'S4']], 4: [['C5'], ['Y5', 'R5'], ['X5', 'S5']], 5: [['C6'], ['Y6', 'R6'], ['X6', 'S6']], 6: [['C7'], ['P', 'R7'], ['Q', 'S7']]}, int_out_coupling: {0: [['Z0'], ['Y0'], ['X0']], 1: [['Z1'], ['Y1'], ['X1']], 2: [['Z2'], ['Y2'], ['X2']], 3: [['Z3'], ['Y3'], ['X3']], 4: [['Z4'], ['Y4'], ['X4']], 5: [['Z5'], ['Y5'], ['X5']], 6: [['Z6'], ['Y6'], ['X6']]}, int_in_strides: {0: {}, 1: {}, 2: {}, 3: {}, 4: {}, 5: {}, 6: {}}, int_out_strides: {0: {}, 1: {}, 2: {}, 3: {}, 4: {}, 5: {}, 6: {}}}}) is not compatible with arch Eyeriss (conv)'s coupling (dims: NMPQCRS, in_coupling: [N][C][Pstride*P+Rdilation*R][Qstride*Q+Sdilation*S], w_coupling: W0: [M][C][R][S],, out_coupling: [N][M][P][Q]).",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
fsrcnn_L0_L1_L2_2026-02-25T11:48:00.279361,fsrcnn,L0_L1_L2,3layer,3,depfin,thesis_arch,576,19,128,128,16,16,True,True,,3.017e+03,1.385e+07,5.13e+04,"(6797007768, 3281990400)",0.00384521484375,0.13174962997436523,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 Q=60 P=540 X1=60 Y1=540 X0=60 Y0=540] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 P=1 Q=1 Z2=1 C2=12 R2=3 S2=3 Z1=1 C1=56 R1=1 S1=1 Z0=1 C0=3 R0=5 S0=5] SACols_2[Q=16] SARows_2[Z2=12] SACols_1[X1=16] SARows_1[Z1=12] SACols_0[X0=16] SARows_0[Z0=56] WeightRegister[C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 P=1 Q=1 Z2=1] AccumulationIntermediateOutputRegister[Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] AccumulationOutputRegister[Q=1 P=1 Z2=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1] Compute] 
fsrcnn_L3_L4_L5_2026-02-25T11:48:01.982185,fsrcnn,L3_L4_L5,3layer,3,depfin,thesis_arch,576,19,128,128,16,16,True,True,,3.164e+03,1.059e+07,3.81e+04,"(4362339888, 2059084800)",0.000823974609375,0.2556469440460205,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 Q=60 P=540 X1=60 Y1=540 X0=60 Y0=540] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 P=1 Q=1 Z2=1 C2=12 R2=3 S2=3 Z1=1 C1=12 R1=3 S1=3 Z0=1 C0=12 R0=3 S0=3] SACols_2[Q=16] SARows_2[Z2=12] SACols_1[X1=16] SARows_1[Z1=12] SACols_0[X0=16] SARows_0[Z0=12] WeightRegister[C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 P=1 Q=1 Z2=1] AccumulationIntermediateOutputRegister[Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 P=1 Q=1 Z2=1] AccumulationOutputRegister[Q=1 P=1 Z2=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1] Compute] 
fsrcnn_L6_L7_expanding_output_2026-02-25T11:48:03.184944,fsrcnn,L6_L7_expanding_output,3layer,2,depfin,thesis_arch,576,19,128,128,16,16,True,True,,4.869e+03,2.042e+07,1.19e+05,"(9680610336, 4609612800)",0.0546875,0.10529518127441406,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=60 P=540 X0=60 Y0=540] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=1 C1=56 R1=3 S1=3 Z0=1 C0=12 R0=1 S0=1] SACols_1[Q=16] SARows_1[Z1=16] SACols_0[X0=16] SARows_0[Z0=56] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
