experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
mccnn_L0_L1_2026-02-25T10:26:18.934645,mccnn,L0_L1,2layer,2,depfin,thesis_arch,396,22,128,8,256,207,True,True,,5.066e+03,2.759e+06,1.67e+04,"(9498119184, 4498533936)",0.6538238525390625,0.10040521621704102,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=6 P=376 X0=6 Y0=376] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=4 C1=32 R1=3 S1=3 Z0=4 C0=1 R0=3 S0=3] SACols_1[Q=207] SARows_1[Z1=8] SACols_0[X0=207] SARows_0[Z0=8] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
mccnn_L2_L3_2026-02-25T10:26:20.638392,mccnn,L2_L3,2layer,2,depfin,thesis_arch,396,22,128,8,256,207,True,True,,9.797e+03,5.216e+06,6.11e+04,"(18392518656, 8682315264)",0.6538238525390625,0.12751436233520508,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 Q=6 P=376 X0=6 Y0=376] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] WeightMemory[Y0=1 X0=1 P=1 Q=1 Z1=4 C1=32 R1=3 S1=3 Z0=4 C0=32 R0=3 S0=3] SACols_1[Q=207] SARows_1[Z1=8] SACols_0[X0=207] SARows_0[Z0=8] WeightRegister[C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Z1=1 P=1 Q=1] AccumulationIntermediateOutputRegister[Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 Z1=1 P=1 Q=1] AccumulationOutputRegister[Q=1 P=1 Z1=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1] Compute] 
mccnn_L0_2026-02-25T10:26:21.398580,mccnn,L0,single,1,depfin,thesis_arch,396,22,128,8,256,207,True,True,,2.496e+03,1.245e+06,3.11e+03,"(47969616, 30435696)",0.80859375,0.05140399932861328,DRAM[M=1 P=376 Q=6 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=1 R=3 S=3] SACols[Q=207] SARows[M=8] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
mccnn_L1_2026-02-25T10:26:21.980044,mccnn,L1,single,1,depfin,thesis_arch,396,22,128,8,256,207,True,True,,5.142e+03,4.189e+06,2.16e+04,"(608795328, 47430144)",0.80859375,0.11675906181335449,DRAM[M=1 P=376 Q=6 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=32 R=3 S=3] SACols[Q=207] SARows[M=8] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
mccnn_L2_2026-02-25T10:26:23.083769,mccnn,L2,single,1,depfin,thesis_arch,396,22,128,8,256,207,True,True,,5.142e+03,4.189e+06,2.16e+04,"(608795328, 47430144)",0.80859375,0.06564044952392578,DRAM[M=1 P=376 Q=6 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=32 R=3 S=3] SACols[Q=207] SARows[M=8] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
mccnn_L3_2026-02-25T10:26:23.950971,mccnn,L3,single,1,depfin,thesis_arch,396,22,128,8,256,207,True,True,,5.142e+03,4.189e+06,2.16e+04,"(608795328, 47430144)",0.80859375,0.08405518531799316,DRAM[M=1 P=376 Q=6 C=1 R=1 S=1] FeatureMemory[M=1 P=1 Q=1 C=1 R=1 S=1] WeightMemory[Q=1 P=1 M=4 C=32 R=3 S=3] SACols[Q=207] SARows[M=8] WeightRegister[C=1 R=1 S=1 M=1 P=1 Q=1] OutputRegister[M=1 Q=1 P=1 C=1 R=1 S=1] Compute] 
