experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
vgg16_13layer_2026-02-21T07:15:36.281242,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,4,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x4 -> Level: WRegister: memory footprint: 1225872 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x4 -> Level: IntermediateRegister: memory footprint: 928 VS memory available: 50
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x4 -> Level: OutRegister: memory footprint: 128 VS memory available: 64",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:36.919714,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,16,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x4 -> Level: WRegister: memory footprint: 306468 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x4 -> Level: IntermediateRegister: memory footprint: 232 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:37.418160,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,32,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x4 -> Level: WRegister: memory footprint: 153234 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x4 -> Level: IntermediateRegister: memory footprint: 116 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:37.950974,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,64,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_64x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_64x4 -> Level: WRegister: memory footprint: 76617 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_64x4 -> Level: IntermediateRegister: memory footprint: 58 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:38.812056,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,128,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_128x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_128x4 -> Level: WRegister: memory footprint: 38409 VS memory available: 4000",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:39.349132,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,256,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_256x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_256x4 -> Level: WRegister: memory footprint: 19593 VS memory available: 4000",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:39.846387,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,4,512,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_512x4 -> Level: InRegister: memory footprint: 11152 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_512x4 -> Level: WRegister: memory footprint: 11145 VS memory available: 4000",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:40.309811,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,16,4,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x16 -> Level: InRegister: memory footprint: 2790 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x16 -> Level: WRegister: memory footprint: 306480 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x16 -> Level: IntermediateRegister: memory footprint: 928 VS memory available: 50
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_4x16 -> Level: OutRegister: memory footprint: 128 VS memory available: 64",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:40.999209,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,16,16,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x16 -> Level: InRegister: memory footprint: 2790 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x16 -> Level: WRegister: memory footprint: 76620 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_16x16 -> Level: IntermediateRegister: memory footprint: 232 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
vgg16_13layer_2026-02-21T07:15:41.795242,vgg16,13layer,full,13,eyeriss,thesis_arch,1056,524,128,16,32,1,False,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x16 -> Level: InRegister: memory footprint: 2790 VS memory available: 400
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x16 -> Level: WRegister: memory footprint: 38310 VS memory available: 4000
CONSTRAINTS VIOLATION: Arch: Eyeriss_Constrained_13L_tile1_32x16 -> Level: IntermediateRegister: memory footprint: 116 VS memory available: 50",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
