experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
mccnn_L0_L1_2026-02-22T08:48:05.091610,mccnn,L0_L1,2layer,2,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,1.457e+04,5.137e+06,7.62e+04,"(13436303328, 4573252656)",0.03515625,0.08753752708435059,DRAM[P=376 Q=18 Z1=1 C1=1 R1=1 S1=1 Y0=376 X0=18 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=69 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=69 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=8] SARows[S1=3 C1=32 Z1=2] SACols_0[X0=1 Z0=8] SARows_0[S0=3 C0=1 Z0=4] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=2 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
mccnn_L2_L3_2026-02-22T08:48:06.335493,mccnn,L2_L3,2layer,2,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,2.867e+04,7.474e+06,2.16e+05,"(25240002048, 10819270656)",0.5625,0.15025901794433594,DRAM[P=376 Q=18 Z1=1 C1=1 R1=1 S1=1 Y0=376 X0=18 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=69 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=69 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=8] SARows[S1=3 C1=32 Z1=2] SACols_0[X0=1 Z0=8] SARows_0[S0=3 C0=32 Z0=2] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=2 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=2 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
mccnn_L0_2026-02-22T08:48:07.177576,mccnn,L0,single,1,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,1.030e+03,3.736e+06,3.85e+03,"(65379168, 76586688)",0.046875,0.03537178039550781,DRAM[M=1 C=1 R=1 S=1 P=376 Q=18] GlobalBuffer[Q=69 S=1 C=1 R=1 M=1 P=1] SACols[Q=1 M=8] SARows[S=3 C=1 M=4] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=3 S=1 Q=1 P=1 M=1] OutRegister[M=1 S=1 R=1 Q=1 P=1 C=1] Compute] 
mccnn_L1_2026-02-22T08:48:07.666008,mccnn,L1,single,1,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,2.714e+03,3.738e+06,1.01e+04,"(1516799232, 764932896)",0.75,0.019315242767333984,DRAM[M=1 C=1 R=1 S=1 P=376 Q=18] GlobalBuffer[Q=69 S=1 C=1 R=1 M=1 P=1] SACols[Q=1 M=8] SARows[S=3 C=32 M=2] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=3 S=1 Q=1 P=1 M=1] OutRegister[M=2 S=1 R=1 Q=1 P=1 C=1] Compute] 
mccnn_L2_2026-02-22T08:48:08.026415,mccnn,L2,single,1,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,2.714e+03,3.738e+06,1.01e+04,"(1516799232, 764932896)",0.75,0.04039502143859863,DRAM[M=1 C=1 R=1 S=1 P=376 Q=18] GlobalBuffer[Q=69 S=1 C=1 R=1 M=1 P=1] SACols[Q=1 M=8] SARows[S=3 C=32 M=2] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=3 S=1 Q=1 P=1 M=1] OutRegister[M=2 S=1 R=1 Q=1 P=1 C=1] Compute] 
mccnn_L3_2026-02-22T08:48:08.348619,mccnn,L3,single,1,eyeriss,thesis_arch,1056,524,128,256,8,69,False,True,,2.714e+03,3.738e+06,1.01e+04,"(1516799232, 764932896)",0.75,0.06954097747802734,DRAM[M=1 C=1 R=1 S=1 P=376 Q=18] GlobalBuffer[Q=69 S=1 C=1 R=1 M=1 P=1] SACols[Q=1 M=8] SARows[S=3 C=32 M=2] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=3 S=1 Q=1 P=1 M=1] OutRegister[M=2 S=1 R=1 Q=1 P=1 C=1] Compute] 
