experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
resnet18_17layer_2026-02-26T13:06:13.832023,resnet18,17layer,full,17,eyeriss,thesis_arch,1056,524,128,256,16,1,False,True,,5.197e+04,3.059e+06,1.60e+05,"(5522477248, 2736486144)",0.0032886642329685856,0.7458088397979736,DRAM[P=7 Q=7 Z16=1 C16=1 R16=1 S16=1 Y15=7 X15=7 Z15=1 C15=1 R15=1 S15=1 Y14=7 X14=7 Z14=1 C14=1 R14=1 S14=1 Y13=14 X13=14 Z13=1 C13=1 R13=1 S13=1 Y12=14 X12=14 Z12=1 C12=1 R12=1 S12=1 Y11=14 X11=14 Z11=1 C11=1 R11=1 S11=1 Y10=14 X10=14 Z10=1 C10=1 R10=1 S10=1 Y9=28 X9=28 Z9=1 C9=1 R9=1 S9=1 Y8=28 X8=28 Z8=1 C8=1 R8=1 S8=1 Y7=28 X7=28 Z7=1 C7=1 R7=1 S7=1 Y6=28 X6=28 Z6=1 C6=1 R6=1 S6=1 Y5=56 X5=56 Z5=1 C5=1 R5=1 S5=1 Y4=56 X4=56 Z4=1 C4=1 R4=1 S4=1 Y3=56 X3=56 Z3=1 C3=1 R3=1 S3=1 Y2=56 X2=56 Z2=1 C2=1 R2=1 S2=1 Y1=56 X1=56 Z1=1 C1=1 R1=1 S1=1 Y0=112 X0=112 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=1 Z16=1 C16=1 R16=1 S16=1 Y15=1 X15=1 Z15=1 C15=1 R15=1 S15=1 Y14=1 X14=1 Z14=1 C14=1 R14=1 S14=1 Y13=1 X13=1 Z13=1 C13=1 R13=1 S13=1 Y12=1 X12=1 Z12=1 C12=1 R12=1 S12=1 Y11=1 X11=1 Z11=1 C11=1 R11=1 S11=1 Y10=1 X10=1 Z10=1 C10=1 R10=1 S10=1 Y9=1 X9=1 Z9=1 C9=1 R9=1 S9=1 Y8=1 X8=1 Z8=1 C8=1 R8=1 S8=1 Y7=1 X7=1 Z7=1 C7=1 R7=1 S7=1 Y6=1 X6=1 Z6=1 C6=1 R6=1 S6=1 Y5=1 X5=1 Z5=1 C5=1 R5=1 S5=1 Y4=1 X4=1 Z4=1 C4=1 R4=1 S4=1 Y3=1 X3=1 Z3=1 C3=1 R3=1 S3=1 Y2=1 X2=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z16=16] SARows[S16=3 C16=64 Z16=1] SACols_15[X15=1 Z15=16] SARows_15[S15=3 C15=64 Z15=1] SACols_14[X14=1 Z14=16] SARows_14[S14=3 C14=64 Z14=1] SACols_13[X13=1 Z13=16] SARows_13[S13=3 C13=64 Z13=1] SACols_12[X12=1 Z12=16] SARows_12[S12=3 C12=64 Z12=1] SACols_11[X11=1 Z11=16] SARows_11[S11=3 C11=64 Z11=1] SACols_10[X10=1 Z10=16] SARows_10[S10=3 C10=64 Z10=1] SACols_9[X9=1 Z9=16] SARows_9[S9=3 C9=64 Z9=1] SACols_8[X8=1 Z8=16] SARows_8[S8=3 C8=64 Z8=1] SACols_7[X7=1 Z7=16] SARows_7[S7=3 C7=64 Z7=1] SACols_6[X6=1 Z6=16] SARows_6[S6=3 C6=64 Z6=1] SACols_5[X5=1 Z5=16] SARows_5[S5=3 C5=64 Z5=1] SACols_4[X4=1 Z4=16] SARows_4[S4=3 C4=64 Z4=1] SACols_3[X3=1 Z3=16] SARows_3[S3=3 C3=64 Z3=1] SACols_2[X2=1 Z2=16] SARows_2[S2=3 C2=64 Z2=1] SACols_1[X1=1 Z1=16] SARows_1[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=7 C0=3 Z0=4] InRegister[P=1 Q=1 Z16=1 C16=1 R16=1 S16=1 Y15=1 X15=1 Z15=1 C15=1 R15=1 S15=1 Y14=1 X14=1 Z14=1 C14=1 R14=1 S14=1 Y13=1 X13=1 Z13=1 C13=1 R13=1 S13=1 Y12=1 X12=1 Z12=1 C12=1 R12=1 S12=1 Y11=1 X11=1 Z11=1 C11=1 R11=1 S11=1 Y10=1 X10=1 Z10=1 C10=1 R10=1 S10=1 Y9=1 X9=1 Z9=1 C9=1 R9=1 S9=1 Y8=1 X8=1 Z8=1 C8=1 R8=1 S8=1 Y7=1 X7=1 Z7=1 C7=1 R7=1 S7=1 Y6=1 X6=1 Z6=1 C6=1 R6=1 S6=1 Y5=1 X5=1 Z5=1 C5=1 R5=1 S5=1 Y4=1 X4=1 Z4=1 C4=1 R4=1 S4=1 Y3=1 X3=1 Z3=1 C3=1 R3=1 S3=1 Y2=1 X2=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z16=1 C16=8 R16=3 S16=1 Y15=1 X15=1 Z15=1 C15=8 R15=3 S15=1 Y14=1 X14=1 Z14=1 C14=8 R14=3 S14=1 Y13=1 X13=1 Z13=1 C13=4 R13=3 S13=1 Y12=1 X12=1 Z12=1 C12=4 R12=3 S12=1 Y11=1 X11=1 Z11=1 C11=4 R11=3 S11=1 Y10=1 X10=1 Z10=1 C10=4 R10=3 S10=1 Y9=1 X9=1 Z9=1 C9=2 R9=3 S9=1 Y8=1 X8=1 Z8=1 C8=2 R8=3 S8=1 Y7=1 X7=1 Z7=1 C7=2 R7=3 S7=1 Y6=1 X6=1 Z6=1 C6=2 R6=3 S6=1 Y5=1 X5=1 Z5=1 C5=1 R5=3 S5=1 Y4=1 X4=1 Z4=1 C4=1 R4=3 S4=1 Y3=1 X3=1 Z3=1 C3=1 R3=3 S3=1 Y2=1 X2=1 Z2=1 C2=1 R2=3 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=7 S0=1] IntermediateRegister[P=1 Q=1 Z16=1 C16=1 R16=1 S16=1 Y15=1 X15=1 Z15=32 C15=1 R15=1 S15=1 Y14=1 X14=1 Z14=32 C14=1 R14=1 S14=1 Y13=1 X13=1 Z13=32 C13=1 R13=1 S13=1 Y12=1 X12=1 Z12=16 C12=1 R12=1 S12=1 Y11=1 X11=1 Z11=16 C11=1 R11=1 S11=1 Y10=1 X10=1 Z10=16 C10=1 R10=1 S10=1 Y9=1 X9=1 Z9=16 C9=1 R9=1 S9=1 Y8=1 X8=1 Z8=8 C8=1 R8=1 S8=1 Y7=1 X7=1 Z7=8 C7=1 R7=1 S7=1 Y6=1 X6=1 Z6=8 C6=1 R6=1 S6=1 Y5=1 X5=1 Z5=8 C5=1 R5=1 S5=1 Y4=1 X4=1 Z4=4 C4=1 R4=1 S4=1 Y3=1 X3=1 Z3=4 C3=1 R3=1 S3=1 Y2=1 X2=1 Z2=4 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=4 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z16=32 C16=1 R16=1 S16=1 Y15=1 X15=1 Z15=1 C15=1 R15=1 S15=1 Y14=1 X14=1 Z14=1 C14=1 R14=1 S14=1 Y13=1 X13=1 Z13=1 C13=1 R13=1 S13=1 Y12=1 X12=1 Z12=1 C12=1 R12=1 S12=1 Y11=1 X11=1 Z11=1 C11=1 R11=1 S11=1 Y10=1 X10=1 Z10=1 C10=1 R10=1 S10=1 Y9=1 X9=1 Z9=1 C9=1 R9=1 S9=1 Y8=1 X8=1 Z8=1 C8=1 R8=1 S8=1 Y7=1 X7=1 Z7=1 C7=1 R7=1 S7=1 Y6=1 X6=1 Z6=1 C6=1 R6=1 S6=1 Y5=1 X5=1 Z5=1 C5=1 R5=1 S5=1 Y4=1 X4=1 Z4=1 C4=1 R4=1 S4=1 Y3=1 X3=1 Z3=1 C3=1 R3=1 S3=1 Y2=1 X2=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s1b1_2026-02-26T13:06:15.662950,resnet18,s1b1,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,8,False,True,,5.142e+03,1.380e+05,7.12e+02,"(719670464, 268579584)",0.24609375,0.15691828727722168,DRAM[P=56 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=112 X0=14 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=8 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=8 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=7 C0=3 Z0=4] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=7 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=4 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s1b2_2026-02-26T13:06:16.542924,resnet18,s1b2,2layer,3,eyeriss,thesis_arch,1056,524,128,256,16,8,False,True,,7.609e+03,1.597e+05,1.22e+03,"(946831360, 434524160)",0.421875,0.08879971504211426,DRAM[P=56 Q=7 Z2=1 C2=1 R2=1 S2=1 Y1=56 X1=7 Z1=1 C1=1 R1=1 S1=1 Y0=56 X0=7 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=8 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=8 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=8 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z2=16] SARows[S2=3 C2=64 Z2=1] SACols_1[X1=1 Z1=16] SARows_1[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z2=1 C2=1 R2=3 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=4 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=4 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z2=4 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s2b1_2026-02-26T13:06:16.983250,resnet18,s2b1,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,4,False,True,,7.553e+03,1.129e+05,8.54e+02,"(917037056, 434323456)",0.5625,0.14177751541137695,DRAM[P=28 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=56 X0=14 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=4 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=4 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=2 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=8 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=8 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s2b2_2026-02-26T13:06:17.584226,resnet18,s2b2,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,4,False,True,,4.906e+03,9.958e+04,4.90e+02,"(612943872, 255696896)",0.5625,0.09260439872741699,DRAM[P=28 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=28 X0=7 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=4 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=4 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=2 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=2 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=8 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=8 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s3b1_2026-02-26T13:06:17.971696,resnet18,s3b1,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,2,False,True,,7.464e+03,2.463e+05,1.84e+03,"(863911936, 390569984)",0.5625,0.08257198333740234,DRAM[P=14 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=28 X0=14 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=2 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=2 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=4 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=2 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=16 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=16 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s3b2_2026-02-26T13:06:18.623487,resnet18,s3b2,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,2,False,True,,4.979e+03,3.075e+05,1.54e+03,"(596517888, 243453952)",0.5625,0.08136820793151855,DRAM[P=14 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=14 X0=7 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=2 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=2 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=4 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=4 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=16 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=16 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s4b1_2026-02-26T13:06:19.321994,resnet18,s4b1,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,1,False,True,,7.791e+03,8.973e+05,7.05e+03,"(839671808, 368693248)",0.5625,0.031057357788085938,DRAM[P=7 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=14 X0=14 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=8 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=4 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=32 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=32 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s4b2_2026-02-26T13:06:19.692031,resnet18,s4b2,2layer,2,eyeriss,thesis_arch,1056,524,128,256,16,1,False,True,,5.511e+03,1.186e+06,6.64e+03,"(591401472, 237332480)",0.5625,0.07329344749450684,DRAM[P=7 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=7 X0=7 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=16] SARows[S1=3 C1=64 Z1=1] SACols_0[X0=1 Z0=16] SARows_0[S0=3 C0=64 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=8 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=8 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=32 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=32 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
