experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
mccnn_4layer_2026-02-25T16:23:45.746899,mccnn,4layer,full,4,depfin,thesis_arch,522,28,128,16,64,,True,True,,9.919e+03,1.522e+07,1.99e+05,"(27253836720, 13165905456)",0.5068216323852539,0.21989130973815918,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 C3=1 R3=1 S3=1 Z3=1 Q=23 P=376 X2=23 Y2=376 X1=23 Y1=376 X0=23 Y0=376] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 Y2=1 X2=1 P=1 Q=1 Z3=2 C3=32 R3=3 S3=3 Z2=2 C2=32 R2=3 S2=3 Z1=2 C1=32 R1=3 S1=3 Z0=2 C0=1 R0=3 S0=3] SACols_3[Q=54] SARows_3[Z3=16] SACols_2[X2=54] SARows_2[Z2=16] SACols_1[X1=54] SARows_1[Z1=16] SACols_0[X0=54] SARows_0[Z0=16] WeightRegister[C3=1 R3=1 S3=1 C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 Y2=1 X2=1 Z2=1 P=1 Q=1 Z3=1] AccumulationIntermediateOutputRegister[Z2=1 Y2=1 X2=1 Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] AccumulationOutputRegister[Q=1 P=1 Z3=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1] Compute] 
mccnn_4layer_2026-02-25T16:23:47.938443,mccnn,4layer,full,4,depfin,thesis_arch,522,28,128,16,128,,True,True,,9.907e+03,1.197e+07,1.56e+05,"(27201317040, 13165905456)",0.08444160595536232,0.16642117500305176,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 C3=1 R3=1 S3=1 Z3=1 Q=18 P=376 X2=18 Y2=376 X1=18 Y1=376 X0=18 Y0=376] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 Y2=1 X2=1 P=1 Q=1 Z3=2 C3=32 R3=3 S3=3 Z2=2 C2=32 R2=3 S2=3 Z1=2 C1=32 R1=3 S1=3 Z0=2 C0=1 R0=3 S0=3] SACols_3[Q=69] SARows_3[Z3=16] SACols_2[X2=69] SARows_2[Z2=16] SACols_1[X1=69] SARows_1[Z1=16] SACols_0[X0=69] SARows_0[Z0=16] WeightRegister[C3=1 R3=1 S3=1 C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 Y2=1 X2=1 Z2=1 P=1 Q=1 Z3=1] AccumulationIntermediateOutputRegister[Z2=1 Y2=1 X2=1 Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] AccumulationOutputRegister[Q=1 P=1 Z3=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1] Compute] 
mccnn_4layer_2026-02-25T16:23:49.118197,mccnn,4layer,full,4,depfin,thesis_arch,522,28,128,16,256,,True,True,,9.876e+03,4.154e+06,5.40e+04,"(27075269808, 13165905456)",0.42748563014902174,0.17768502235412598,DRAM[C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 C3=1 R3=1 S3=1 Z3=1 Q=6 P=376 X2=6 Y2=376 X1=6 Y1=376 X0=6 Y0=376] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] WeightMemory[Y0=1 X0=1 Y1=1 X1=1 Y2=1 X2=1 P=1 Q=1 Z3=2 C3=32 R3=3 S3=3 Z2=2 C2=32 R2=3 S2=3 Z1=2 C1=32 R1=3 S1=3 Z0=2 C0=1 R0=3 S0=3] SACols_3[Q=207] SARows_3[Z3=16] SACols_2[X2=207] SARows_2[Z2=16] SACols_1[X1=207] SARows_1[Z1=16] SACols_0[X0=207] SARows_0[Z0=16] WeightRegister[C3=1 R3=1 S3=1 C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 Y2=1 X2=1 Z2=1 P=1 Q=1 Z3=1] AccumulationIntermediateOutputRegister[Z2=1 Y2=1 X2=1 Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 C3=1 R3=1 S3=1 P=1 Q=1 Z3=1] AccumulationOutputRegister[Q=1 P=1 Z3=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1] Compute] 
