experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_name,fmem_size_kB,wmem_size_kB,pe_rows,pe_cols,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
fsrcnn_8layer_2026-01-31T18:11:33.209701,fsrcnn,8layer,full,8,thesis_arch,128,256,8,64,True,,1.311e+04,2.228e+07,4.22e+05,"(14878941192, 4721068800)",0.2373046875,2.2734200954437256,DRAM[Q=15 P=540 X6=15 Y6=540 X5=15 Y5=540 X4=15 Y4=540 X3=15 Y3=540 X2=15 Y2=540 X1=15 Y1=540 X0=15 Y0=540 C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 C3=1 R3=1 S3=1 Z3=1 C4=1 R4=1 S4=1 Z4=1 C5=1 R5=1 S5=1 Z5=1 C6=1 R6=1 S6=1 Z6=1 C7=1 R7=1 S7=1 Z7=1] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 Y3=1 X3=1 Z3=1 C4=1 R4=1 S4=1 Y4=1 X4=1 Z4=1 C5=1 R5=1 S5=1 Y5=1 X5=1 Z5=1 C6=1 R6=1 S6=1 Y6=1 X6=1 Z6=1 C7=1 R7=1 S7=1 P=1 Q=1 Z7=1] WeightMemory[Z7=2 C7=56 R7=3 S7=3 Z6=7 C6=12 R6=1 S6=1 Z5=2 C5=12 R5=3 S5=3 Z4=2 C4=12 R4=3 S4=3 Z3=2 C3=12 R3=3 S3=3 Z2=2 C2=12 R2=3 S2=3 Z1=2 C1=56 R1=1 S1=1 Z0=7 C0=3 R0=5 S0=5 Y0=1 X0=1 Y1=1 X1=1 Y2=1 X2=1 Y3=1 X3=1 Y4=1 X4=1 Y5=1 X5=1 Y6=1 X6=1 P=1 Q=1] SACols_7[Q=64] SARows_7[Z7=8] SACols_6[X6=64] SARows_6[Z6=8] SACols_5[X5=64] SARows_5[Z5=6] SACols_4[X4=64] SARows_4[Z4=6] SACols_3[X3=64] SARows_3[Z3=6] SACols_2[X2=64] SARows_2[Z2=6] SACols_1[X1=64] SARows_1[Z1=6] SACols_0[X0=64] SARows_0[Z0=8] WeightRegister[C7=1 R7=1 S7=1 C6=1 R6=1 S6=1 C5=1 R5=1 S5=1 C4=1 R4=1 S4=1 C3=1 R3=1 S3=1 C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 Y2=1 X2=1 Z2=1 Y3=1 X3=1 Z3=1 Y4=1 X4=1 Z4=1 Y5=1 X5=1 Z5=1 Y6=1 X6=1 Z6=1 P=1 Q=1 Z7=1] AccumulationIntermediateOutputRegister[Z6=1 Y6=1 X6=1 Z5=1 Y5=1 X5=1 Z4=1 Y4=1 X4=1 Z3=1 Y3=1 X3=1 Z2=1 Y2=1 X2=1 Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 C3=1 R3=1 S3=1 C4=1 R4=1 S4=1 C5=1 R5=1 S5=1 C6=1 R6=1 S6=1 C7=1 R7=1 S7=1 P=1 Q=1 Z7=1] AccumulationOutputRegister[Q=1 P=1 Z7=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 Y3=1 X3=1 Z3=1 C4=1 R4=1 S4=1 Y4=1 X4=1 Z4=1 C5=1 R5=1 S5=1 Y5=1 X5=1 Z5=1 C6=1 R6=1 S6=1 Y6=1 X6=1 Z6=1 C7=1 R7=1 S7=1] Compute] 
fsrcnn_8layer_2026-01-31T18:11:38.559012,fsrcnn,8layer,full,8,thesis_arch,128,256,8,128,True,,1.330e+04,1.573e+07,3.01e+05,"(15272393832, 5185555200)",0.14160432826315628,4.1524436473846436,DRAM[Q=8 P=540 X6=8 Y6=540 X5=8 Y5=540 X4=8 Y4=540 X3=8 Y3=540 X2=8 Y2=540 X1=8 Y1=540 X0=8 Y0=540 C0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Z1=1 C2=1 R2=1 S2=1 Z2=1 C3=1 R3=1 S3=1 Z3=1 C4=1 R4=1 S4=1 Z4=1 C5=1 R5=1 S5=1 Z5=1 C6=1 R6=1 S6=1 Z6=1 C7=1 R7=1 S7=1 Z7=1] FeatureMemory[C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 Y3=1 X3=1 Z3=1 C4=1 R4=1 S4=1 Y4=1 X4=1 Z4=1 C5=1 R5=1 S5=1 Y5=1 X5=1 Z5=1 C6=1 R6=1 S6=1 Y6=1 X6=1 Z6=1 C7=1 R7=1 S7=1 P=1 Q=1 Z7=1] WeightMemory[Z7=2 C7=56 R7=3 S7=3 Z6=7 C6=12 R6=1 S6=1 Z5=2 C5=12 R5=3 S5=3 Z4=2 C4=12 R4=3 S4=3 Z3=2 C3=12 R3=3 S3=3 Z2=2 C2=12 R2=3 S2=3 Z1=2 C1=56 R1=1 S1=1 Z0=7 C0=3 R0=5 S0=5 Y0=1 X0=1 Y1=1 X1=1 Y2=1 X2=1 Y3=1 X3=1 Y4=1 X4=1 Y5=1 X5=1 Y6=1 X6=1 P=1 Q=1] SACols_7[Q=120] SARows_7[Z7=8] SACols_6[X6=120] SARows_6[Z6=8] SACols_5[X5=120] SARows_5[Z5=6] SACols_4[X4=120] SARows_4[Z4=6] SACols_3[X3=120] SARows_3[Z3=6] SACols_2[X2=120] SARows_2[Z2=6] SACols_1[X1=120] SARows_1[Z1=6] SACols_0[X0=120] SARows_0[Z0=8] WeightRegister[C7=1 R7=1 S7=1 C6=1 R6=1 S6=1 C5=1 R5=1 S5=1 C4=1 R4=1 S4=1 C3=1 R3=1 S3=1 C2=1 R2=1 S2=1 C1=1 R1=1 S1=1 C0=1 R0=1 S0=1 Y0=1 X0=1 Z0=1 Y1=1 X1=1 Z1=1 Y2=1 X2=1 Z2=1 Y3=1 X3=1 Z3=1 Y4=1 X4=1 Z4=1 Y5=1 X5=1 Z5=1 Y6=1 X6=1 Z6=1 P=1 Q=1 Z7=1] AccumulationIntermediateOutputRegister[Z6=1 Y6=1 X6=1 Z5=1 Y5=1 X5=1 Z4=1 Y4=1 X4=1 Z3=1 Y3=1 X3=1 Z2=1 Y2=1 X2=1 Z1=1 Y1=1 X1=1 Z0=1 Y0=1 X0=1 C0=1 R0=1 S0=1 C1=1 R1=1 S1=1 C2=1 R2=1 S2=1 C3=1 R3=1 S3=1 C4=1 R4=1 S4=1 C5=1 R5=1 S5=1 C6=1 R6=1 S6=1 C7=1 R7=1 S7=1 P=1 Q=1 Z7=1] AccumulationOutputRegister[Q=1 P=1 Z7=1 C0=1 Y0=1 X0=1 R0=1 S0=1 Z0=1 C1=1 R1=1 S1=1 Y1=1 X1=1 Z1=1 C2=1 R2=1 S2=1 Y2=1 X2=1 Z2=1 C3=1 R3=1 S3=1 Y3=1 X3=1 Z3=1 C4=1 R4=1 S4=1 Y4=1 X4=1 Z4=1 C5=1 R5=1 S5=1 Y5=1 X5=1 Z5=1 C6=1 R6=1 S6=1 Y6=1 X6=1 Z6=1 C7=1 R7=1 S7=1] Compute] 
fsrcnn_8layer_2026-01-31T18:11:49.423089,fsrcnn,8layer,full,8,thesis_arch,128,256,8,256,False,"Ill-posed constraints:
CONSTRAINTS VIOLATION: Arch: Thesis_8Layers_131072KB_FMEM_8x256_PEs -> Level: FeatureMemory: memory footprint: 143485 VS memory available: 131072",0.000e+00,0.000e+00,0.00e+00,0,0.0,0.0,
