experiment_id,workload_name,workload_variant,fusion_level,num_fused_layers,arch_type,arch_name,fmem_size_kB,wmem_size_kB,gb_size_kB,pe_rows,pe_cols,tile_size,scale_bandwidth,success,error_message,energy_uJ,latency_cycles,edp,mops,utilization,mapping_time_s,mapping
resnet18_s1b1_2026-02-20T23:00:32.622620,resnet18,s1b1,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,56,False,True,,3.284e+03,1.380e+05,4.77e+02,"(719670464, 268579584)",0.0615234375,0.029475927352905273,DRAM[P=56 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=112 X0=2 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=56 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=56 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=64 Z1=2] SACols_0[X0=1 Z0=32] SARows_0[S0=7 C0=3 Z0=2] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=7 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s1b2_2026-02-20T23:00:33.813345,resnet18,s1b2,2layer,3,eyeriss,thesis_arch,1056,524,128,512,32,56,False,True,,5.581e+03,1.597e+05,9.47e+02,"(1120239616, 463425536)",0.421875,0.07545089721679688,DRAM[P=56 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=56 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=56 X0=1 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=56 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=56 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=56 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z2=32] SARows[S2=3 C2=64 Z2=2] SACols_1[X1=1 Z1=32] SARows_1[S1=3 C1=64 Z1=2] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=64 Z0=2] InRegister[P=1 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z2=1 C2=1 R2=3 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z2=1 C2=1 R2=1 S2=1 Y1=1 X1=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s2b1_2026-02-20T23:00:34.408834,resnet18,s2b1,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,28,False,True,,5.063e+03,1.055e+05,5.39e+02,"(1003741184, 463224832)",0.5625,0.09875893592834473,DRAM[P=28 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=56 X0=2 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=28 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=28 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=64 Z0=2] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=2 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=4 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s2b2_2026-02-20T23:00:35.091390,resnet18,s2b2,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,28,False,True,,2.979e+03,9.882e+04,2.99e+02,"(646662144, 279781376)",0.5625,0.11435246467590332,DRAM[P=28 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=28 X0=1 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=28 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=28 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=128 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=1 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=4 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=4 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s3b1_2026-02-20T23:00:35.913085,resnet18,s3b1,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,14,False,True,,4.561e+03,2.463e+05,1.13e+03,"(916897792, 433922048)",0.5625,0.17237138748168945,DRAM[P=14 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=28 X0=2 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=14 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=14 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=128 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=2 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=8 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=8 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s3b2_2026-02-20T23:00:37.125015,resnet18,s3b2,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,14,False,True,,2.787e+03,3.075e+05,8.65e+02,"(613377024, 255496192)",0.5625,0.1077108383178711,DRAM[P=14 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=14 X0=1 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=14 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=14 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=128 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=2 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=2 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=8 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=8 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s4b1_2026-02-20T23:00:37.690520,resnet18,s4b1,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,7,False,True,,4.296e+03,8.973e+05,3.88e+03,"(866164736, 390369280)",0.5625,0.19166994094848633,DRAM[P=7 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=14 X0=2 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=7 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=128 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=4 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=2 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=16 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=16 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_s4b2_2026-02-20T23:00:38.617394,resnet18,s4b2,2layer,2,eyeriss,thesis_arch,1056,524,128,512,32,7,False,True,,2.790e+03,1.186e+06,3.35e+03,"(599831040, 243353600)",0.5625,0.06708598136901855,DRAM[P=7 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=7 X0=1 Z0=1 C0=1 R0=1 S0=1] GlobalBuffer[P=1 Q=7 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=7 Z0=1 C0=1 R0=1 S0=1] SACols[Q=1 Z1=32] SARows[S1=3 C1=128 Z1=1] SACols_0[X0=1 Z0=32] SARows_0[S0=3 C0=128 Z0=1] InRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] WRegister[P=1 Q=1 Z1=1 C1=4 R1=3 S1=1 Y0=1 X0=1 Z0=1 C0=4 R0=3 S0=1] IntermediateRegister[P=1 Q=1 Z1=1 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=16 C0=1 R0=1 S0=1] OutRegister[P=1 Q=1 Z1=16 C1=1 R1=1 S1=1 Y0=1 X0=1 Z0=1 C0=1 R0=1 S0=1] Compute] 
resnet18_L0_conv1_2026-02-20T23:00:39.669456,resnet18,L0_conv1,single,1,eyeriss,thesis_arch,1056,524,128,512,32,7,False,True,,1.169e+02,2.007e+05,2.35e+01,"(18008256, 18514944)",0.57421875,0.07166028022766113,DRAM[M=1 C=1 R=1 S=1 P=112 Q=16] GlobalBuffer[Q=1 S=1 C=1 R=1 M=1 P=1] SACols[Q=7 M=4] SARows[S=7 C=3 M=16] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=7 S=1 Q=1 P=1 M=1] OutRegister[M=1 S=1 R=1 Q=1 P=1 C=1] Compute] 
resnet18_L1_conv2_1_1_2026-02-20T23:00:40.397836,resnet18,L1_conv2_1_1,single,1,eyeriss,thesis_arch,1056,524,128,512,32,7,False,True,,6.717e+01,5.939e+04,4.00e+00,"(39604224, 5429760)",0.65625,0.09558439254760742,DRAM[M=1 C=1 R=1 S=1 P=56 Q=8] GlobalBuffer[Q=1 S=1 C=1 R=1 M=1 P=1] SACols[Q=7 M=4] SARows[S=3 C=64 M=2] InRegister[S=1 R=1 Q=1 P=1 C=1 M=1] WRegister[C=1 R=3 S=1 Q=1 P=1 M=1] OutRegister[M=8 S=1 R=1 Q=1 P=1 C=1] Compute] 
